name,field_location_longitude,field_location_latitude
Rajeb,35.68126563,32.24129298
Safienh,35.70913271,32.25452804
Ballas,35.70715455,32.26376842
Kufranjah,35.70834959,32.29728118
Nubah,35.69445211,32.26167227
Oqdeh,35.67605146,32.27352707
Ka'b El-Malol,35.65906223,32.24683566
Um Erramel,35.6938552,32.26742103
Berkeh,35.66861695,32.27808001
Thagret Zebaid,35.67610342,32.22770356
Harth,35.67051547,32.2655386
Shkarah,35.74007367,32.24078183
Fakhreh,35.72991528,32.2497899
Kerbet Essooq,35.76164598,32.25263253
Zarra'ah,35.72039402,32.2487413
Sakhneh,35.74407072,32.25187734
Anjarah,35.75728988,32.30601283
Wahadneh,35.6438367,32.3256955
Ajlun,35.75141763,32.33258279
Ain Janna,35.76226723,32.33502259
Dair Smadiyyeh Janoobi,35.66965767,32.33869102
Dair Smadiyyeh Shamali,35.67212046,32.34622173
Shtafaina,35.74538938,32.35665856
Mehnah,35.75417741,32.36498532
Tayyarah,35.75671219,32.36861492
Halawah,35.65718029,32.38402895
Gabal Aghdar,35.72171105,32.2265172
Keshiebeh El-Foqa',35.72106893,32.22373135
Hashemiyyeh,35.66699553,32.36282162
Sowwan,35.7074615,32.34074213
Sofsafan,35.78070705,32.26204415
Um El-Yanabie',35.76354478,32.37468344
Oasarah,35.69710378,32.37995904
Ba'oon,35.72480099,32.38293511
Rasoon,35.76075281,32.3985277
Ebellien,35.82333061,32.35224221
Ebbien,35.8092245,32.35709421
Sena'ar,35.79135653,32.40330545
Asiem,35.81084111,32.40430878
Bier Eddalyeh,35.78676413,32.39982891
Merjam,35.78071342,32.39632723
Orjan,35.77348119,32.41647516
Dair El-Barak,35.8397936,32.43384628
Ras Munif,35.81009934,32.38426116
Samta,35.82622913,32.3859957
Sakhrah,35.84555356,32.37550844
Swaimeh,35.59817674,31.74860117
Ramah,35.64457435,31.82635578
Joafet El-Kafrain,35.6376835,31.86299714
Shoonah Janoobiyah,35.59976897,31.88950873
Karamah,35.58094292,31.9488219
Kafrain,35.64832093,31.84665387
Roudhah,35.66281031,31.83249708
Shoonah Jadideh (Sokneh),35.61035744,31.91097693
Safoot,35.82876729,32.04176185
Ain El-Basha,35.8223842,32.06185114
Baq'ah,35.84417671,32.07392417
Karet Abu Nsair,35.86866375,32.07177035
Heno,35.83352533,32.08747356
Um Edananier,35.81041742,32.05881398
Abu Hamed,35.88196661,32.08722603
Moobes,35.86078445,32.09312139
Saleehi,35.82211529,32.12432866
Romman,35.83264532,32.15801941
Jaidiyyeh,35.84796405,32.11252313
Salhoob,35.86312736,32.12064717
Shewahi El-Gharbi,35.84895619,32.06869838
Um Njasah,35.80814133,32.08548868
Sahlooliyyeh,35.79541652,32.08998449
Um Sendyaneh,35.81739916,32.09246812
