name,field_location_longitude,field_location_latitude
Khirbat Al Kharijah,35.667,32.433
Khirbat Al Biddiyah,35.719,32.275
Khirbat Al Qusayr,35.869,32.258
Khirbat Umm Rummanah,35.971,32.324
Raas Ad Duwayriyah,35.692,32.276
Khirbat Sarabis,35.76,32.274
Shariq Bank,35.75,32.25
Khirbat Salim,35.711,32.348
Tall Al Hussien,35.731,32.483
Kafr Ad Durrah,35.718,32.351
Subayrah,35.613,32.361
Khirbat Mar Ilyas,35.723,32.362
Tall Abu al Hummus,35.703,32.366
Raas At Tilm,35.808,32.41
Farah,35.66,32.364
Irjan,35.733,32.395
Mukhayyam Suf,35.833,32.317
Khirbat Abu Tinah,35.793,32.044
Kafr Hudah,35.699,32.066
Ar Rabaah,35.773,32.066
Taff Yusha3,35.683,32.067
Khashm Al Qatrah,35.135,29.543
Al Matrabah,35.533,31.283
Wadi an Nukhaylah,35.819,31.442
Askan Dabbabnah,35.984,30.905
Qasr Abu Al Anaya,35.95,30.918
Khirbat Umm Rummanah,35.599,31.034
Umm Zaba3air,35.738,31.03
Dulayqah,35.724,31.036
Rujm Ash Shara3airah,35.836,32
Al Qunaytirah,36.039,31.606
Khirbat Siran,35.89,32.014
Al Juwayyidah,35.938,31.882
Al Qusayr,35.96,31.874
Jawa,35.939,31.852
Zabaair Udwan,35.897,31.755
Ash Shufatah,35.967,31.783
Al Muqabalayn,35.913,31.906
Abu Alandah,36.06,31.932
Al Mabrak,35.979,31.934
Qasr An Nuwayjis,35.943,31.988
Umm Suwaywinah,35.925,31.924
Khirbat Subhi,35.888,31.926
Mukhayyam Jabal AL Hussien,35.95,31.95
Raas Al Ayn,35.913,31.944
As Saqrah,35.894,31.964
Arwim,35.568,30.818
Al Jirm,35.595,32.457
Afra,35.65,30.922
As Sukkar,35.602,32.461
Khirbat Fitnah,35.676,32.431
As Samt,35.686,32.51
Kafr Lahiya,35.767,32.7
Tall Uwaymir,35.761,32.238
Khirbat as Sakhinah,35.752,32.246
Al Birkatayn,35.892,32.3
Khirbat As Suwaydiyah,35.767,32.262
Raas Al Khaymah,35.738,32.277
Khirbat Hazzar,35.793,32.282
Khirbat Shamsin,35.743,32.283
Khirbat Al Mawbarah,35.667,32.29
Khirbat As Salus,35.764,32.308
Khirbat Abu Hadid,35.721,32.312
Tall Mashhad,35.683,32.329
Khirbat Mashhad,35.683,32.333
Muhafazat Ajlun,35.75,32.333
Khirbat ash Shaykh Rashid,35.628,32.339
Khirbat Dayr Ilyus,35.783,32.367
Khirbat Abu Az Zaytun,35.701,32.355
Khirbat Mahrama,35.787,32.419
Khirbat Farah,35.83,32.42
Ash Shaghur,35.661,31.832
Marj Zubayd,35.674,32.232
Tall Al Gharabah,35.559,31.891
Khirbat Al Kharsaah,35.6,31.891
Ad Daliyah,35.707,31.645
Madashsh Wadi Himarah,35.572,31.646
Ghawr Nimrin,35.617,31.9
Tall Al Mistah,35.641,31.907
Al Karamah Extension,35.583,31.95
Khirbat Bassat Khalaf,35.567,31.967
Al Mumallah,35.567,31.483
Al Hushayrah,35.567,31.483
Al Mushayrifah,36.014,31.894
Rujm Maghaghah,35.868,32.064
Rujm Al Midmar,35.818,32.07
Rujm Al Hawi,35.833,32.083
Khirbat Rufayfah,36.323,32.269
Sahl Al Balqa,35.833,32.083
Khirbat Al Mudawwarah,35.85,32.083
Al Mukhayzin,36.1,32.283
Rujm Al Hays,35.881,32.092
Al Manashsh,35.829,32.126
Rujm Al Mu3mini,35.892,32.101
Rujm Umm Zurur,35.88,32.107
Ghawr Al Katar,35.534,32.023
Al Maqam,35.583,32.033
Zawr Dayr Shaman,35.533,32.052
Ghawr Damiya wa Ash Shiqaq,35.554,32.056
Al Hudayb,35.615,32.069
Zahrat Umm Qitfah,35.6,32.081
Mukhayyam Damiya,35.55,32.1
Al Bakuli,35.55,32.117
Izbat Al Bisharat,35.562,32.141
An Nusayhi,35.6,32.167
Ghawr Al Muaddi,35.617,32.167
Al Majannah,36.033,32.117
Husayn Al 3ali Al Falah,35.572,32.169
Sulayman An Nasir,35.574,32.172
Bayt Al Husayni,35.632,32.184
At Turkumaniyah,35.565,32.201
Ghawr Abu `Ubaydah,35.604,32.21
Bab An Naqb,35.633,32.217
Suhayban,35.582,32.224
Al Amarah,35.58,32.232
Al Muwayb,35.581,32.246
Al Qasr,35.533,31.283
Al Manshiyah,35.667,31.417
Khirbat Al Ainab,35.755,32.017
Al Humrah,35.643,32.098
Ma3lakah,35.698,32.138
Umm Al Ahjar,35.685,32.14
Al Zukhaynat,35.731,32.142
At Tuwayqiyah,35.693,32.134
Al Aridah,35.72,32.146
Marj Al Mawali,35.71,32.151
Adh7 Dhubab,35.698,32.153
Suhayyat Owda,35.698,32.166
Al Khawarij,35.741,32.171
Jabal Di3am,35.746,32.084
Marj Abu Al Kharram,35.74,32.104
Al Ifranj,35.688,31.173
Marj Kawkash,35.731,32.108
Al Ashrafiyah,35.797,32.106
Marj Abu 3amirah,35.716,32.11
Khirbat Al Amn,35.767,32.117
Khirbat Ar Rashuni,35.78,32.132
Jabal Abu Zaytunah,35.794,32.144
Khirbat Al Braah,35.686,31.991
Muhafazat Al Balqa,35.667,32
Khirbat Ayyub,35.703,32.002
Al bahrah,35.712,32.004
Karm Abbas,35.698,32.004
Al Qassam Ash Sharqi,35.707,32.008
As Shah,35.698,32.008
Al Qassam Al Gharbi,35.7,32.013
At Tarazin,35.681,32.015
Jabal al Abyad,35.636,32.017
Khallat As Sakhri,35.688,32.021
Al Hulaylah,35.704,32.026
Jibal Abu Tarah,35.762,32.028
Qasabat As Salt,35.7,32.039
Al Buqaan,35.733,32.05
Khirbat Umm al Kuub,35.792,32.052
Khirbat Sal3uf,35.762,32.082
Khirbat al Miraa3h,35.667,32.083
Majdala,35.692,31.972
Khirbat Sha3tha,35.683,31.992
Khirbat Al Haddadah,35.677,31.994
Ruaaysat Al Khalidi,35.226,29.672
Muhafazat Al Aqabah,35.333,29.75
Al Yamaniyah,34.982,29.432
Jabal Ash Shurayyah,34.983,29.479
Al Buraij,34.988,29.488
Hadabat Qarah,35.318,29.561
Abu Nukhaylah,35.4,29.55
Ar Rabiyah,35.017,29.551
Al Muzaqqar,35.191,29.628
Taba,35.105,29.845
Tilal As Sifr,35.241,29.904
Jibal Raas An Naqb,35.327,30.073
Rawdat An Nar,35.27,30.125
Raas An Naqb,35.383,30.3
Al Amiriyah,36.1,31.575
Umm Mathla,35.295,30.462
Rujm Ash Shumus,35.623,31.211
Al Mara3ah,35.5,31.267
Khirbat Al Qunaytirah,35.546,31.331
Qinan Al Mintar,35.667,31.383
Arqib Fuqu3,35.576,31.421
Rujm Ghunaym,35.817,31.317
Ghawr Al Hadithah,35.527,31.304
Khirbat Ash Shaykh Issa,35.467,31.033
Safi,35.465,31.036
Jibal Samrat Qunayy,35.533,31.093
Al Mudayyinah,35.9,31.583
Khirbat Az Zaqibah,35.725,31.31
Nasib,35.76,31.339
Ghzzur,35.821,31.349
Jadaat Al Jubur,35.749,31.364
Khirbat Furaywan,35.742,31.404
Ibharmalah,35.755,31.418
Al Furayn,35.967,30.933
Rujm Abu Al Hisani,35.936,30.939
Rujm Khashm As Sirah,35.848,31.065
Qasr At Tamrah,35.871,31.102
Rujm Ash Sharif,35.805,31.168
Ath Thamaail,35.87,31.18
Wadi Suaaydah,35.893,31.398
Wadi Al Balu3,35.832,31.417
Qusur Rishan,35.928,31.28
Khawkhah,35.683,31.017
Al Masmar,35.833,31
Al Madabah,35.698,31.01
As Sa3adah,35.802,31.923
Ad Dabab,35.635,31.037
Khirbat Al Mudawwarah,35.655,31.042
Umm Sawwanah,35.667,31.044
Al Humrah,35.567,31.05
Al Batraa,35.783,31.117
Khirbat al Basiliyah,35.677,31.059
Al Amiriyah,35.713,32.291
Bayt Shahm,35.618,31.076
Khirbat Umm Al qtat,35.667,31.082
Khirbat Mishraqa,35.662,31.089
Al Mashhad,35.709,31.09
