adm0_name,adm1_name,adm2_name,adm3_name,adm4_name
North,Ajlun Governorate,Kufranja,Kufranja,Rajeb
North,Ajlun Governorate,Kufranja,Kufranja,Safienh
North,Ajlun Governorate,Kufranja,Kufranja,Ballas
North,Ajlun Governorate,Kufranja,Kufranja,Kufranjah
North,Ajlun Governorate,Kufranja,Kufranja,Nubah
North,Ajlun Governorate,Kufranja,Kufranja,Oqdeh
North,Ajlun Governorate,Kufranja,Kufranja,Ka'b El-Malol
North,Ajlun Governorate,Kufranja,Kufranja,Um Erramel
North,Ajlun Governorate,Kufranja,Kufranja,Berkeh
North,Ajlun Governorate,Kufranja,Kufranja,Thagret Zebaid
North,Ajlun Governorate,Kufranja,Kufranja,Harth
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Shkarah
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Fakhreh
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Kerbet Essooq
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Zarra'ah
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Sakhneh
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Anjarah
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Wahadneh
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Ajlun
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Ain Janna
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Dair Smadiyyeh Janoobi
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Dair Smadiyyeh Shamali
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Shtafaina
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Mehnah
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Tayyarah
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Halawah
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Gabal Aghdar
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Keshiebeh El-Foqa'
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Hashemiyyeh
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Sowwan
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Sofsafan
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Um El-Yanabie'
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Oasarah
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Ba'oon
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Rasoon
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Ebellien
North,Ajlun Governorate,Qasabat Ajloun,Ajloun,Ebbien
North,Ajlun Governorate,Qasabat Ajloun,Arjan,Sena'ar
North,Ajlun Governorate,Qasabat Ajloun,Arjan,Asiem
North,Ajlun Governorate,Qasabat Ajloun,Arjan,Bier Eddalyeh
North,Ajlun Governorate,Qasabat Ajloun,Arjan,Merjam
