Irbid,Al Koura,Al Koura,Khirbat Al Kharijah
Ajloun,Kufr Anja,Kufr Anja,Khirbat Al Biddiyah
Jarash,Qasabat Jarash,Jarash,Khirbat Al Qusayr
Mafraq,Qasabat Al Mafraq,Erhab,Khirbat Umm Rummanah
Ajloun,Kufr Anja,Kufr Anja,Raas Ad Duwayriyah
Ajloun,Qasabat  Ajloun,Qasabat  Ajloun,Khirbat Sarabis
Ajloun,Qasabat  Ajloun,Qasabat  Ajloun,Shariq Bank
Ajloun,Qasabat  Ajloun,Qasabat  Ajloun,Khirbat Salim
Irbid,Al Koura,Al Koura,Tall Al Hussien
Ajloun,Qasabat  Ajloun,Qasabat  Ajloun,Kafr Ad Durrah
Ajloun,Qasabat  Ajloun,Qasabat  Ajloun,Subayrah
Ajloun,Qasabat  Ajloun,Qasabat  Ajloun,Khirbat Mar Ilyas
Ajloun,Qasabat  Ajloun,Qasabat  Ajloun,Tall Abu al Hummus
Ajloun,Qasabat  Ajloun,Arjan,Raas At Tilm
Ajloun,Qasabat  Ajloun,Qasabat  Ajloun,Farah
Ajloun,Qasabat  Ajloun,Qasabat  Ajloun,Irjan
Jarash,Qasabat Jarash,Jarash,Mukhayyam Suf
Balqa,Qasabat As Salt,As Salt,Khirbat Abu Tinah
Balqa,Qasabat As Salt,As Salt,Kafr Hudah
Balqa,Qasabat As Salt,As Salt,Ar Rabaah
Balqa,Qasabat As Salt,As Salt,Taff Yusha3
Aqabah,Qasabat Al Aqabah,Al Aqabah,Khashm Al Qatrah
Karak,Al Aghwar Al Janoobiyah,Ghawr Al Mazrha,Al Matrabah
Karak,Al Qasr,Al Mawjib,Wadi an Nukhaylah
Karak,Al Qatrana,Al Qatrana,Askan Dabbabnah
Karak,Al Qatrana,Al Qatrana,Qasr Abu Al Anaya
Karak,Al Mazar Al Janoubi,Al Mazar Al Janoubi,Khirbat Umm Rummanah
Karak,Al Mazar Al Janoubi,Moab,Umm Zaba3air
Karak,Al Mazar Al Janoubi,Moab,Dulayqah
Amman,Al Jamiah,Al Jamiah,Rujm Ash Shara3airah
Amman,Al Jiza,Al Jiza,Al Qunaytirah
Amman,Al Jamiah,Al Jamiah,Khirbat Siran
Amman,Al Quaysmh,Al Quaysmh,Al Juwayyidah
Amman,Al Quaysmh,Al Quaysmh,Al Qusayr
Amman,Al Quaysmh,Al Quaysmh,Jawa
Amman,Al Jiza,Al Jiza,Zabaair Udwan
Amman,Al Jiza,Al Jiza,Ash Shufatah
Amman,Al Quaysmh,Al Quaysmh,Al Muqabalayn
Amman,Marka,Marka,Abu Alandah
Amman,Al Quaysmh,Al Quaysmh,Al Mabrak
Amman,Marka,Marka,Qasr An Nuwayjis
Amman,Qasabat Amman,Al Madinah,Umm Suwaywinah
Amman,Qasabat Amman,Al Madinah,Khirbat Subhi
Amman,Qasabat Amman,Al Madinah,Mukhayyam Jabal AL Hussien
Amman,Qasabat Amman,Al Madinah,Raas Al Ayn
Amman,Qasabat Amman,Al Madinah,As Saqrah
Tafilah,Tafilah,Tafilah,Arwim
Irbid,Al Aghwar Al Shamalyah,Al Aghwar Al Shamalyah,Al Jirm
Tafilah,Tafilah,Tafilah,Afra
Irbid,Al Aghwar Al Shamalyah,Al Aghwar Al Shamalyah,As Sukkar
Irbid,Al Koura,Al Koura,Khirbat Fitnah
Irbid,Al Koura,Al Koura,As Samt
